team1_recent_wins,team1_recent_losses,team1_recent_win_pct,team1_recent_avg_margin,team1_recent_matches,team2_recent_wins,team2_recent_losses,team2_recent_win_pct,team2_recent_avg_margin,team2_recent_matches,form_win_pct_diff,team1_season_matches_played,team1_season_wins,team1_season_losses,team1_season_points,team1_season_win_pct,team2_season_matches_played,team2_season_wins,team2_season_losses,team2_season_points,team2_season_win_pct,points_diff,h2h_matches,h2h_win_pct_team1,h2h_win_pct_team2,venue_avg_first_innings_runs,team1_venue_win_pct,team2_venue_win_pct,venue_win_pct_diff,toss_winner_is_team1,toss_decision_bat,team1_top_batter_form_avg,team1_top_bowler_form_avg,team2_top_batter_form_avg,team2_top_bowler_form_avg,match_number_in_season,team1_won,winner,match_id,date,team1,team2
2,3,0.4,14.0,5,2,3,0.4,45.0,5,0.0,13,6,7,12,0.4615,14,7,7,14,0.5,-2,0,0.5,0.5,160.1818181818182,0.6667,0.5,0.16669999999999996,1,1,141.19,84.15,141.6,98.18,27,1,Kolkata Knight Riders,336017,2008-05-13,Kolkata Knight Riders,Delhi Capitals
3,2,0.6,56.33,5,2,3,0.4,29.0,5,0.19999999999999996,14,7,7,14,0.5,16,9,7,18,0.5625,-4,1,0.0,1.0,166.02739726027397,0.0,0.5,-0.5,1,0,109.59,104.33,155.36,112.4,30,1,Mumbai Indians,336018,2008-05-14,Mumbai Indians,Chennai Super Kings
1,4,0.2,80.0,5,1,4,0.2,70.0,5,0.0,14,7,7,14,0.5,14,2,12,4,0.1429,10,1,1.0,0.0,161.63333333333333,0.6667,0.5,0.16669999999999996,0,0,132.29,113.22,124.81,118.47,28,1,Delhi Capitals,336020,2008-05-15,Delhi Capitals,Deccan Chargers
4,1,0.8,64.75,5,3,2,0.6,17.0,5,0.20000000000000007,14,7,7,14,0.5,13,6,7,12,0.4615,2,1,1.0,0.0,166.02739726027397,0.5,0.5,0.0,1,0,124.17,112.65,109.54,91.64,27,1,Mumbai Indians,336021,2008-05-16,Mumbai Indians,Kolkata Knight Riders
4,1,0.8,58.75,5,1,4,0.2,3.0,5,0.6000000000000001,16,13,3,26,0.8125,14,4,10,8,0.2857,18,1,1.0,0.0,157.68085106382978,1.0,0.5,0.5,0,0,141.54,120.51,99.23,149.27,30,1,Rajasthan Royals,336023,2008-05-17,Rajasthan Royals,Royal Challengers Bengaluru
1,4,0.2,12.0,5,4,1,0.8,57.25,5,-0.6000000000000001,14,7,7,14,0.5,15,10,5,20,0.6667,-6,1,0.0,1.0,161.63333333333333,0.75,0.5,0.25,1,1,138.19,127.74,153.68,180.38,29,0,Punjab Kings,336022,2008-05-17,Delhi Capitals,Punjab Kings
3,2,0.6,17.0,5,2,3,0.4,29.0,5,0.19999999999999996,13,6,7,12,0.4615,16,9,7,18,0.5625,-6,1,0.0,1.0,160.1818181818182,0.75,0.5,0.25,1,1,102.39,98.78,154.96,112.05,29,0,Chennai Super Kings,336025,2008-05-18,Kolkata Knight Riders,Chennai Super Kings
1,4,0.2,70.0,5,5,0,1.0,67.8,5,-0.8,14,2,12,4,0.1429,14,7,7,14,0.5,-10,1,1.0,0.0,156.14285714285714,0.0,0.5,-0.5,1,0,123.68,132.91,126.47,135.88,28,0,Mumbai Indians,336024,2008-05-18,Deccan Chargers,Mumbai Indians
1,4,0.2,3.0,5,1,4,0.2,12.0,5,0.0,14,4,10,8,0.2857,14,7,7,14,0.5,-6,1,0.0,1.0,168.06153846153848,0.2,0.5,-0.3,0,0,104.42,148.99,134.23,127.49,28,0,Delhi Capitals,336026,2008-05-19,Royal Challengers Bengaluru,Delhi Capitals
3,2,0.6,17.0,5,4,1,0.8,63.75,5,-0.20000000000000007,13,6,7,12,0.4615,16,13,3,26,0.8125,-14,1,0.0,1.0,160.1818181818182,0.6,0.5,0.09999999999999998,0,0,102.23,90.86,155.57,135.99,29,0,Rajasthan Royals,336027,2008-05-20,Kolkata Knight Riders,Rajasthan Royals
